Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size	Sprint
Fix pinning of the tabs going crazy after deleting some tabs	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/112	Corgam	P0	1	bug, frontend	UI	1	Sprint 4
Develop YAML Parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/56	Superschnizel	P0	5	backend, feature	Data lake	2	Sprint 3
Develop CSV parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/57	nicolasbandel	P0	5	backend, feature	Data lake	5	Sprint 3
Dockefile for data pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/71	Ahsankkhan	P0	3	backend, feature	Data lake	3	Sprint 3
Configure database connection	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/58	Ahsankkhan	P0	3	backend, feature	Data lake	3	Sprint 3
Compose the FE 2 - Context and states	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/138	Corgam		3	feature, frontend	UI	3	
Dockerfile for database	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/70	Ahsankkhan	P2	3	backend, feature	Data lake	5	Sprint 3
Decide on API endpoints - to have one hour meeting	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/17	Corgam, dancingsushii, Lucas-Nan, op-hub	P2	5	backend, feature, frontend	Data lake	5	Sprint 4
Clarify preferred storage for meeting notes with Prof. Riehle	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/59	op-hub	P2	1	organizational			Sprint 4
Upload deliverables Sprint 3	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/75	op-hub	P0		organizational			Sprint 3
Create map component from OSM	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/77	Lucas-Nan	P0	3	feature, frontend	UI	3	Sprint 3
Create pop-up with favourites	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/80	Lucas-Nan	P0	2	feature, frontend	UI	2	Sprint 3
Create generic pop-up container	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/79	Lucas-Nan	P0	1	feature, frontend	UI	1	Sprint 3
Research and prototype on Geospatial Database	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/170	Ahsankkhan	P0	5	backend, feature	Data lake	5	Sprint 5
Datapipeline crashes while used in docker container	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/172	Superschnizel	P0	5	backend, bug	Data lake	5	Sprint 5
Add discard_if_empty attribute to yaml.	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/130	nicolasbandel		2	backend	Data lake	2	Sprint 4
Crash on special character	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/124	nicolasbandel		1	backend, bug	UI	1	Sprint 4
Compose the FE 1- Composition and Style	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/137	Corgam		3	feature, frontend	UI	3	
Row mapping/filtering	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/74	nicolasbandel	P0	3	backend, feature	UI	3	Sprint 4
