Title	Assignees	Status	Priority	Estimate	Size	Iteration
Stay on topic in Meetings		In Progress				
Small follow-up summary messages after meetings		In Progress				
Documentation mainly on GitHub Wiki		In Progress				
Read user story and acceptance during sprint review		In Progress				
Smaller, atomic issues		In Progress				
